Gender,Age Group,State of Residence,Product,Rating
Male,25-34,MN,cell phone,3
Male,55-64,IN,cell phone,4
Male,35-44,MN,cell phone,5
Male,35-44,AK,cell phone,4
Male,65-74,NJ,USB drive,3
Male,55-64,NH,toothpaste,3
Male,35-44,HI,calculator,1
Male,18-24,TX,toothpaste,1
Female,25-34,WV,toothpaste,4
Male,75+,MD,toothpaste,3
Female,65-74,AL,calculator,1
Male,55-64,KY,laptop,3
Female,75+,IA,USB drive,1
Male,65-74,RI,USB drive,2
Female,18-24,WV,calculator,1
Female,45-54,WI,cell phone,4
Female,75+,CA,headphones,4
Female,18-24,TN,cell phone,5
Male,45-54,IA,calculator,4
Male,45-54,TX,headphones,3
Female,35-44,KY,USB drive,4
Male,35-44,CT,calculator,1
Female,25-34,OR,calculator,4
Female,45-54,KS,laptop,1
Male,65-74,WA,USB drive,1
Male,55-64,MN,toothpaste,2
Male,65-74,RI,toothpaste,1
Male,18-24,HI,laptop,1
Male,65-74,UT,toothpaste,5
Female,25-34,LA,calculator,5
Female,75+,AR,headphones,3
Female,35-44,AZ,headphones,5
Male,18-24,MN,USB drive,1
Female,18-24,LA,USB drive,5
Female,75+,HI,laptop,3
Male,18-24,VT,headphones,2
Male,25-34,MI,calculator,5
Male,75+,LA,laptop,3
Male,55-64,PA,laptop,5
Male,45-54,FL,toothpaste,2
Male,18-24,NM,calculator,4
Male,55-64,NJ,laptop,2
Female,25-34,ND,calculator,5
Female,65-74,IL,toothpaste,1
Male,55-64,OR,cell phone,2
Female,45-54,VT,calculator,1
Male,55-64,SD,toothpaste,4
Female,75+,SC,laptop,2
Male,35-44,MI,laptop,3
Male,75+,LA,calculator,1
Male,25-34,ME,cell phone,4
Female,18-24,NE,cell phone,5
Female,18-24,WY,headphones,4
Male,25-34,MA,calculator,1
Female,55-64,WI,USB drive,5
Female,35-44,ND,calculator,1
Female,75+,ME,cell phone,4
Male,35-44,AR,headphones,5
Male,25-34,VA,cell phone,1
Female,65-74,CA,USB drive,3
Male,18-24,NV,toothpaste,2
Male,75+,FL,headphones,1
Female,75+,SD,USB drive,4
Male,25-34,OK,USB drive,4
Male,75+,NV,calculator,3
Male,35-44,NV,USB drive,1
Male,45-54,TX,headphones,4
Female,45-54,WI,laptop,4
Male,45-54,AZ,calculator,4
Male,35-44,WV,cell phone,2
Female,25-34,DE,laptop,3
Male,55-64,KS,calculator,2
Male,55-64,ND,USB drive,4
Female,45-54,AR,calculator,2
Male,65-74,WY,USB drive,2
Female,25-34,KS,cell phone,5
Female,55-64,VA,headphones,2
Male,18-24,MD,toothpaste,5
Male,45-54,NH,calculator,3
Female,18-24,NJ,cell phone,4
Female,75+,MN,calculator,2
Male,25-34,NE,toothpaste,5
Male,35-44,NE,headphones,3
Female,75+,NV,laptop,1
Female,35-44,IL,toothpaste,4
Male,45-54,KY,cell phone,5
Female,35-44,IL,headphones,1
Female,35-44,PA,calculator,3
Male,45-54,MD,cell phone,3
Female,18-24,HI,USB drive,5
Male,75+,OR,toothpaste,5
Female,55-64,CO,laptop,2
Female,25-34,LA,headphones,5
Male,45-54,TX,USB drive,2
Male,25-34,AZ,headphones,5
Male,18-24,ME,headphones,4
Female,18-24,ID,laptop,4
Male,75+,DE,calculator,2
Male,45-54,WY,headphones,3
Female,35-44,KS,headphones,4
Female,55-64,PA,cell phone,2
Female,25-34,ME,USB drive,4
Female,25-34,WA,calculator,5
Male,55-64,WV,calculator,5
Male,55-64,OR,cell phone,1
Female,55-64,ID,toothpaste,2
